Timepoint,Date,Tank,Temp,ImageID,Stick,StickID,Species,Position,FragID,Genotype,Reef,CoralID,Area,MeanGrey,CalibratedMeanGrey
0,11/01/2022,AC1,Ambient,_1111838,2,AC1_2,P. lutea,5,PlutArlington16,Arlington16,Arlington,AC1_2_5,294.196,62.181,4.642
0,11/01/2022,AC1,Ambient,_1111838,2,AC1_2,P. lutea,7,PlutDavies1,Davies1,Davies,AC1_2_7,211.945,108.872,2.835
0,11/01/2022,AC1,Ambient,_1111838,2,AC1_2,P. lutea,8,PlutArlington9,Arlington9,Arlington,AC1_2_8,226.131,79.922,3.956
0,11/01/2022,AC1,Ambient,_1111838,2,AC1_2,P. lutea,9,PlutArlington12,Arlington12,Arlington,AC1_2_9,457.11,54.719,4.931
0,11/01/2022,AC1,Ambient,_1111838,2,AC1_2,P. lutea,11,PlutMartin4,Martin4,Martin,AC1_2_11,264.809,60.9,4.692
0,11/01/2022,AC1,Ambient,_1111839,3,AC1_3,A. hyacinthus,1,AhyaDavies15,Davies15,Davies,AC1_3_1,326.659,66.64,4.452
0,11/01/2022,AC1,Ambient,_1111839,3,AC1_3,A. hyacinthus,3,AhyaDavies14,Davies14,Davies,AC1_3_3,310.189,78.895,3.982
0,11/01/2022,AC1,Ambient,_1111839,3,AC1_3,A. hyacinthus,4,AhyaArlington10,Arlington10,Arlington,AC1_3_4,337.512,71.819,4.254
0,11/01/2022,AC1,Ambient,_1111839,3,AC1_3,A. hyacinthus,5,AhyaDavies9,Davies9,Davies,AC1_3_5,309.371,94.748,3.374
0,11/01/2022,AC1,Ambient,_1111839,3,AC1_3,A. hyacinthus,6,AhyaWood16,Wood16,Wood,AC1_3_6,319.382,88.615,3.609
0,11/01/2022,AC1,Ambient,_1111839,3,AC1_3,A. hyacinthus,7,AhyaMartin3,Martin3,Martin,AC1_3_7,187.405,91.206,3.51
0,11/01/2022,AC1,Ambient,_1111839,3,AC1_3,A. hyacinthus,8,AhyaPalms6,Palms6,Palms,AC1_3_8,301.557,66.944,4.441
0,11/01/2022,AC1,Ambient,_1111839,3,AC1_3,A. hyacinthus,10,AhyaWood8,Wood8,Wood,AC1_3_10,131.44,79.896,3.944
0,11/01/2022,AC1,Ambient,_1111839,3,AC1_3,A. hyacinthus,11,AhyaPalms4,Palms4,Palms,AC1_3_11,170.203,69.422,4.346
0,11/01/2022,AC1,Ambient,_1111841,4,AC1_4,P. lutea,1,PlutDavies10,Davies10,Davies,AC1_4_1,316.318,68.406,4.427
0,11/01/2022,AC1,Ambient,_1111841,4,AC1_4,P. lutea,2,PlutArlington1,Arlington1,Arlington,AC1_4_2,252.27,58.611,4.811
0,11/01/2022,AC1,Ambient,_1111841,4,AC1_4,P. lutea,3,PlutMartin18,Martin18,Martin,AC1_4_3,351.345,70.049,4.362
0,11/01/2022,AC1,Ambient,_1111841,4,AC1_4,P. lutea,4,PlutWood14,Wood14,Wood,AC1_4_4,295.27,53.249,5.022
0,11/01/2022,AC1,Ambient,_1111841,4,AC1_4,P. lutea,5,PlutDavies7,Davies7,Davies,AC1_4_5,262.807,65.738,4.532
0,11/01/2022,AC1,Ambient,_1111841,4,AC1_4,P. lutea,6,PlutArlington6,Arlington6,Arlington,AC1_4_6,287.31,83.011,3.853
0,11/01/2022,AC1,Ambient,_1111841,4,AC1_4,P. lutea,7,PlutDavies9,Davies9,Davies,AC1_4_7,166.992,84.548,3.793
0,11/01/2022,AC1,Ambient,_1111841,4,AC1_4,P. lutea,8,PlutDavies18,Davies18,Davies,AC1_4_8,352.773,71.608,4.301
0,11/01/2022,AC1,Ambient,_1111841,4,AC1_4,P. lutea,9,PlutMartin32,Martin32,Martin,AC1_4_9,356.753,60.821,4.725
0,11/01/2022,AC1,Ambient,_1111841,4,AC1_4,P. lutea,10,PlutPalms17,Palms17,Palms,AC1_4_10,320.579,69.095,4.4
0,11/01/2022,AC1,Ambient,_1111841,4,AC1_4,P. lutea,11,PlutPalms3,Palms3,Palms,AC1_4_11,320.103,51.193,5.103
0,11/01/2022,AC1,Ambient,_1111842,5,AC1_5,A. hyacinthus,1,AhyaMartin12,Martin12,Martin,AC1_5_1,374.92,52.423,5.115
0,11/01/2022,AC1,Ambient,_1111842,5,AC1_5,A. hyacinthus,2,AhyaWood5A,Wood5A,Wood,AC1_5_2,291.046,76.906,4.15
0,11/01/2022,AC1,Ambient,_1111842,5,AC1_5,A. hyacinthus,3,AhyaWood7A,Wood7A,Wood,AC1_5_3,168.982,85.846,3.797
0,11/01/2022,AC1,Ambient,_1111842,5,AC1_5,A. hyacinthus,4,AhyaPalms10,Palms10,Palms,AC1_5_4,183.718,73.281,4.292
0,11/01/2022,AC1,Ambient,_1111842,5,AC1_5,A. hyacinthus,5,AhyaArlington11,Arlington11,Arlington,AC1_5_5,320.151,69.569,4.439
0,11/01/2022,AC1,Ambient,_1111842,5,AC1_5,A. hyacinthus,7,AhyaDavies16,Davies16,Davies,AC1_5_7,169.043,100.314,3.268
0,11/01/2022,AC1,Ambient,_1111842,5,AC1_5,A. hyacinthus,8,AhyaDavies12,Davies12,Davies,AC1_5_8,231.223,95.759,3.226
0,11/01/2022,AC1,Ambient,_1111842,5,AC1_5,A. hyacinthus,10,AhyaPalms16,Palms16,Palms,AC1_5_10,241.551,81.179,3.981
0,11/01/2022,AC1,Ambient,_1111842,5,AC1_5,A. hyacinthus,11,AhyaMartin13,Martin13,Martin,AC1_5_11,243.444,76.268,4.175
0,11/01/2022,AC1,Ambient,_1111844,6,AC1_6,P. lutea,1,PlutWood4,Wood4,Wood,AC1_6_1,343.324,46.367,5.318
0,11/01/2022,AC1,Ambient,_1111844,6,AC1_6,P. lutea,4,PlutPalms1,Palms1,Palms,AC1_6_4,261.342,59.934,4.783
0,11/01/2022,AC1,Ambient,_1111844,6,AC1_6,P. lutea,5,PlutWood20,Wood20,Wood,AC1_6_5,27.519,101.587,3.143
0,11/01/2022,AC1,Ambient,_1111844,6,AC1_6,P. lutea,6,PlutWood29,Wood29,Wood,AC1_6_6,306.685,78.799,4.04
0,11/01/2022,AC1,Ambient,_1111844,6,AC1_6,P. lutea,7,PlutWood13,Wood13,Wood,AC1_6_7,407.75,95.575,3.38
0,11/01/2022,AC1,Ambient,_1111844,6,AC1_6,P. lutea,8,PlutDavies3,Davies3,Davies,AC1_6_8,232.211,88.736,3.649
0,11/01/2022,AC1,Ambient,_1111844,6,AC1_6,P. lutea,9,PlutPalms4,Palms4,Palms,AC1_6_9,232.932,58.178,4.853
0,11/01/2022,AC1,Ambient,_1111844,6,AC1_6,P. lutea,10,PlutMartin19,Martin19,Martin,AC1_6_10,407.957,73.909,4.233
0,11/01/2022,AC1,Ambient,_1111844,6,AC1_6,P. lutea,11,PlutArlington19,Arlington19,Arlington,AC1_6_11,183.108,86.973,3.719
0,11/01/2022,AC2,Ambient,_1111863,1,AC2_1,A. hyacinthus,2,AhyaDavies16,Davies16,Davies,AC2_1_2,535.881,77.68,4.066
0,11/01/2022,AC2,Ambient,_1111863,1,AC2_1,A. hyacinthus,3,AhyaMartin17,Martin17,Martin,AC2_1_3,274.747,102.137,3.106
0,11/01/2022,AC2,Ambient,_1111863,1,AC2_1,A. hyacinthus,4,AhyaWood8,Wood8,Wood,AC2_1_4,168.225,69.264,4.396
0,11/01/2022,AC2,Ambient,_1111863,1,AC2_1,A. hyacinthus,5,AhyaWood16,Wood16,Wood,AC2_1_5,355.13,90.938,3.546
0,11/01/2022,AC2,Ambient,_1111863,1,AC2_1,A. hyacinthus,6,AhyaArlington6,Arlington6,Arlington,AC2_1_6,164.221,80.469,3.956
0,11/01/2022,AC2,Ambient,_1111863,1,AC2_1,A. hyacinthus,7,AhyaDavies14,Davies14,Davies,AC2_1_7,360.636,93.934,3.428
0,11/01/2022,AC2,Ambient,_1111863,1,AC2_1,A. hyacinthus,8,AhyaArlington9,Arlington9,Arlington,AC2_1_8,339.905,73.825,4.217
0,11/01/2022,AC2,Ambient,_1111863,1,AC2_1,A. hyacinthus,11,AhyaArlington1,Arlington1,Arlington,AC2_1_11,272.293,62.474,4.662
0,11/01/2022,AC2,Ambient,_1111865,2,AC2_2,P. lutea,2,PlutMartin36,Martin36,Martin,AC2_2_2,370.537,61.478,4.708
0,11/01/2022,AC2,Ambient,_1111865,2,AC2_2,P. lutea,3,PlutArlington16,Arlington16,Arlington,AC2_2_3,204.229,49.991,5.158
0,11/01/2022,AC2,Ambient,_1111865,2,AC2_2,P. lutea,4,PlutMartin19,Martin19,Martin,AC2_2_4,369.219,54.593,4.978
0,11/01/2022,AC2,Ambient,_1111865,2,AC2_2,P. lutea,5,PlutWood14,Wood14,Wood,AC2_2_5,268.374,64.055,4.607
0,11/01/2022,AC2,Ambient,_1111865,2,AC2_2,P. lutea,6,PlutArlington9,Arlington9,Arlington,AC2_2_6,324.009,69.349,4.399
0,11/01/2022,AC2,Ambient,_1111865,2,AC2_2,P. lutea,8,PlutDavies10,Davies10,Davies,AC2_2_8,424.183,74.206,4.209
0,11/01/2022,AC2,Ambient,_1111865,2,AC2_2,P. lutea,9,PlutArlington19,Arlington19,Arlington,AC2_2_9,196.501,75.554,4.156
0,11/01/2022,AC2,Ambient,_1111865,2,AC2_2,P. lutea,10,PlutPalms3,Palms3,Palms,AC2_2_10,275.919,73.17,4.249
0,11/01/2022,AC2,Ambient,_1111865,2,AC2_2,P. lutea,11,PlutMartin14,Martin14,Martin,AC2_2_11,313.669,57.09,4.88
0,11/01/2022,AC2,Ambient,_1111866,3,AC2_3,A. hyacinthus,1,AhyaDavies15,Davies15,Davies,AC2_3_1,254.529,66.912,4.489
0,11/01/2022,AC2,Ambient,_1111866,3,AC2_3,A. hyacinthus,3,AhyaMartin11,Martin11,Martin,AC2_3_3,119.549,80.026,3.97
0,11/01/2022,AC2,Ambient,_1111866,3,AC2_3,A. hyacinthus,4,AhyaMart3,Martin3,Martin,AC2_3_4,116.277,78.88,4.022
0,11/01/2022,AC2,Ambient,_1111866,3,AC2_3,A. hyacinthus,6,AhyaDavies12,Davies12,Davies,AC2_3_6,377.972,99.334,3.224
0,11/01/2022,AC2,Ambient,_1111866,3,AC2_3,A. hyacinthus,7,AhyaDavies18,Davies18,Davies,AC2_3_7,448.393,98.56,3.255
0,11/01/2022,AC2,Ambient,_1111866,3,AC2_3,A. hyacinthus,8,AhyaMartin13,Martin13,Martin,AC2_3_8,319.553,84.6,3.799
0,11/01/2022,AC2,Ambient,_1111866,3,AC2_3,A. hyacinthus,9,AhyaWood7A,Wood7A,Wood,AC2_3_9,96.694,94.724,3.404
0,11/01/2022,AC2,Ambient,_1111866,3,AC2_3,A. hyacinthus,10,AhyaPalms6,Palms6,Palms,AC2_3_10,227.987,66.198,4.517
0,11/01/2022,AC2,Ambient,_1111866,3,AC2_3,A. hyacinthus,11,AhyaPalms3,Palms3,Palms,AC2_3_11,229.416,63.333,4.628
0,11/01/2022,AC2,Ambient,_1111868,4,AC2_4,P. lutea,1,PlutWood13,Wood13,Wood,AC2_4_1,211.041,91.873,3.507
0,11/01/2022,AC2,Ambient,_1111868,4,AC2_4,P. lutea,3,PlutPalms1,Palms1,Palms,AC2_4_3,327.086,52.37,5.058
0,11/01/2022,AC2,Ambient,_1111868,4,AC2_4,P. lutea,4,PlutPalms4,Palms4,Palms,AC2_4_4,233.689,79.636,3.988
0,11/01/2022,AC2,Ambient,_1111868,4,AC2_4,P. lutea,5,PlutPalms20,Palms20,Palms,AC2_4_5,195.902,90.78,3.55
0,11/01/2022,AC2,Ambient,_1111868,4,AC2_4,P. lutea,7,PlutDavies7,Davies7,Davies,AC2_4_7,217.842,106.86,2.919
0,11/01/2022,AC2,Ambient,_1111868,4,AC2_4,P. lutea,8,PlutPalms23,Palms23,Palms,AC2_4_8,169.19,78.763,4.022
0,11/01/2022,AC2,Ambient,_1111868,4,AC2_4,P. lutea,9,PlutWood29,Wood29,Wood,AC2_4_9,212.836,93.627,3.438
0,11/01/2022,AC2,Ambient,_1111868,4,AC2_4,P. lutea,10,PlutDavies3,Davies3,Davies,AC2_4_10,303.389,102.86,3.076
0,11/01/2022,AC2,Ambient,_1111868,4,AC2_4,P. lutea,11,PlutMartin32,Martin32,Martin,AC2_4_11,299.03,57.755,4.846
0,11/01/2022,AC2,Ambient,_1111869,5,AC2_5,A. hyacinthus,1,AhyaWood17,Wood17,Wood,AC2_5_1,358.255,90.245,3.578
0,11/01/2022,AC2,Ambient,_1111869,5,AC2_5,A. hyacinthus,2,AhyaArlington8,Arlington8,Arlington,AC2_5_2,276.188,76.161,4.131
0,11/01/2022,AC2,Ambient,_1111869,5,AC2_5,A. hyacinthus,3,AhyaArlington11,Arlington11,Arlington,AC2_5_3,136.507,80.978,3.942
0,11/01/2022,AC2,Ambient,_1111869,5,AC2_5,A. hyacinthus,4,AhyaMartin12,Martin12,Martin,AC2_5_4,310.201,77.966,4.061
0,11/01/2022,AC2,Ambient,_1111869,5,AC2_5,A. hyacinthus,5,AhyaPalms16,Palms16,Palms,AC2_5_5,222.786,72.703,4.267
0,11/01/2022,AC2,Ambient,_1111869,5,AC2_5,A. hyacinthus,6,AhyaArlington10,Arlington10,Arlington,AC2_5_6,198.271,100.366,3.181
0,11/01/2022,AC2,Ambient,_1111869,5,AC2_5,A. hyacinthus,7,AhyaDavies9,Davies9,Davies,AC2_5_7,275.235,104.572,3.016
0,11/01/2022,AC2,Ambient,_1111869,5,AC2_5,A. hyacinthus,8,AhyaPalms10,Palms10,Palms,AC2_5_8,147.629,83.737,3.869
0,11/01/2022,AC2,Ambient,_1111869,5,AC2_5,A. hyacinthus,9,AhyaPalms5,Palms5,Palms,AC2_5_9,347.695,60.555,4.744
0,11/01/2022,AC2,Ambient,_1111869,5,AC2_5,A. hyacinthus,10,AhyaWood5A,Wood5A,Wood,AC2_5_10,257.642,89.666,3.601
0,11/01/2022,AC2,Ambient,_1111869,5,AC2_5,A. hyacinthus,11,AhyaPalms4,Palms4,Palms,AC2_5_11,288.372,66.437,4.513
0,11/01/2022,AC2,Ambient,_1111871,6,AC2_6,P. lutea,1,PlutWood4,Wood4,Wood,AC2_6_1,174.891,75.187,4.178
0,11/01/2022,AC2,Ambient,_1111871,6,AC2_6,P. lutea,2,PlutArlington1,Arlington1,Arlington,AC2_6_2,355.911,45.865,5.327
0,11/01/2022,AC2,Ambient,_1111871,6,AC2_6,P. lutea,3,PlutDavies1,Davies1,Davies,AC2_6_3,313.168,86.075,3.752
0,11/01/2022,AC2,Ambient,_1111871,6,AC2_6,P. lutea,4,PlutArlington6,Arlington6,Arlington,AC2_6_4,468.305,62.766,4.665
0,11/01/2022,AC2,Ambient,_1111871,6,AC2_6,P. lutea,5,PlutDavies9,Davies9,Davies,AC2_6_5,296.943,77.321,4.095
0,11/01/2022,AC2,Ambient,_1111871,6,AC2_6,P. lutea,6,PlutWood20,Wood20,Wood,AC2_6_6,432.216,72.062,4.301
0,11/01/2022,AC2,Ambient,_1111871,6,AC2_6,P. lutea,7,PlutMartin4,Martin4,Martin,AC2_6_7,443.827,61.392,4.719
0,11/01/2022,AC2,Ambient,_1111871,6,AC2_6,P. lutea,8,PlutPalms17,Palms17,Palms,AC2_6_8,421.619,71.768,4.312
0,11/01/2022,AC2,Ambient,_1111871,6,AC2_6,P. lutea,9,PlutArlington12,Arlington12,Arlington,AC2_6_9,537.004,71.385,4.327
0,11/01/2022,AC2,Ambient,_1111871,6,AC2_6,P. lutea,10,PlutDavies18,Davies18,Davies,AC2_6_10,312.509,93.959,3.443
0,11/01/2022,AC2,Ambient,_1111871,6,AC2_6,P. lutea,11,PlutMartin18,Martin18,Martin,AC2_6_11,438.052,53.897,5.012
0,11/01/2022,AC3,Ambient,_1111872,1,AC3_1,A. hyacinthus,1,AhyaWood17,Wood17,Wood,AC3_1_1,252.148,76.192,4.121
0,11/01/2022,AC3,Ambient,_1111872,1,AC3_1,A. hyacinthus,2,AhyaMartin13,Martin13,Martin,AC3_1_2,354.238,79.563,3.988
0,11/01/2022,AC3,Ambient,_1111872,1,AC3_1,A. hyacinthus,3,AhyaArlington8,Arlington8,Arlington,AC3_1_3,326.109,103.746,3.012
0,11/01/2022,AC3,Ambient,_1111872,1,AC3_1,A. hyacinthus,5,AhyaWood16,Wood16,Wood,AC3_1_5,186.514,85.828,3.715
0,11/01/2022,AC3,Ambient,_1111872,1,AC3_1,A. hyacinthus,6,AhyaArlington1,Arlington1,Arlington,AC3_1_6,222.786,76.55,4.107
0,11/01/2022,AC3,Ambient,_1111872,1,AC3_1,A. hyacinthus,7,AhyaPalms5,Palms5,Palms,AC3_1_7,237.876,85.979,3.734
0,11/01/2022,AC3,Ambient,_1111872,1,AC3_1,A. hyacinthus,8,AhyaMartin11,Martin11,Martin,AC3_1_8,134.504,99.59,3.196
0,11/01/2022,AC3,Ambient,_1111872,1,AC3_1,A. hyacinthus,10,AhyaPalms16,Palms16,Palms,AC3_1_10,171.094,78.326,4.037
0,11/01/2022,AC3,Ambient,_1111872,1,AC3_1,A. hyacinthus,11,AhyaArlington10,Arlington10,Arlington,AC3_1_11,349.807,95.033,3.376
0,11/01/2022,AC3,Ambient,_1111874,2,AC3_2,P. lutea,1,PlutArlington6,Arlington6,Arlington,AC3_2_1,517.641,54.326,4.983
0,11/01/2022,AC3,Ambient,_1111874,2,AC3_2,P. lutea,2,PlutDavies18,Davies18,Davies,AC3_2_2,181.24,82.003,3.893
0,11/01/2022,AC3,Ambient,_1111874,2,AC3_2,P. lutea,4,PlutMartin32,Martin32,Martin,AC3_2_4,308.126,76.759,4.1
0,11/01/2022,AC3,Ambient,_1111874,2,AC3_2,P. lutea,5,PlutArlington12,Arlington12,Arlington,AC3_2_5,296.271,58.449,4.82
0,11/01/2022,AC3,Ambient,_1111874,2,AC3_2,P. lutea,6,PlutWood4,Wood4,Wood,AC3_2_6,483.688,43.676,5.402
0,11/01/2022,AC3,Ambient,_1111874,2,AC3_2,P. lutea,7,PlutPalms17,Palms17,Palms,AC3_2_7,415.905,66.774,4.493
0,11/01/2022,AC3,Ambient,_1111874,2,AC3_2,P. lutea,8,PlutMartin18,Martin18,Martin,AC3_2_8,448.258,72.283,4.276
0,11/01/2022,AC3,Ambient,_1111874,2,AC3_2,P. lutea,10,PlutMartin14,Martin14,Martin,AC3_2_10,297.919,59.403,4.783
0,11/01/2022,AC3,Ambient,_1111874,2,AC3_2,P. lutea,11,PlutPalms1,Palms1,Palms,AC3_2_11,339.979,40.68,5.52
0,11/01/2022,AC3,Ambient,_1111875,3,AC3_3,A. hyacinthus,1,AhyaDavies12,Davies12,Davies,AC3_3_1,344.813,93.944,3.434
0,11/01/2022,AC3,Ambient,_1111875,3,AC3_3,A. hyacinthus,2,AhyaWood5A,Wood5A,Wood,AC3_3_2,249.096,81.678,3.913
0,11/01/2022,AC3,Ambient,_1111875,3,AC3_3,A. hyacinthus,4,AhyaMartin17,Martin17,Martin,AC3_3_4,360.27,106.553,2.936
0,11/01/2022,AC3,Ambient,_1111875,3,AC3_3,A. hyacinthus,5,AhyaWood7A,Wood7A,Wood,AC3_3_5,143.673,94.328,3.416
0,11/01/2022,AC3,Ambient,_1111875,3,AC3_3,A. hyacinthus,6,AhyaPalms3,Palms3,Palms,AC3_3_6,420.801,71.894,3.913
0,11/01/2022,AC3,Ambient,_1111875,3,AC3_3,A. hyacinthus,7,AhyaPalms4,Palms4,Palms,AC3_3_7,210.724,77.364,4.083
0,11/01/2022,AC3,Ambient,_1111875,3,AC3_3,A. hyacinthus,8,AhyaMartin12,Martin12,Martin,AC3_3_8,221.114,80.879,3.945
0,11/01/2022,AC3,Ambient,_1111875,3,AC3_3,A. hyacinthus,9,AhyaDavies18,Davies18,Davies,AC3_3_9,393.587,91.155,3.474
0,11/01/2022,AC3,Ambient,_1111875,3,AC3_3,A. hyacinthus,11,AhyaDavies15,Davies15,Davies,AC3_3_11,313.571,65.894,4.533
0,11/01/2022,AC3,Ambient,_1111877,4,AC3_4,P. lutea,1,PlutMartin36,Martin36,Martin,AC3_4_1,525.198,44.069,5.387
0,11/01/2022,AC3,Ambient,_1111877,4,AC3_4,P. lutea,2,PlutPalms4,Palms4,Palms,AC3_4_2,530.607,67.563,4.467
0,11/01/2022,AC3,Ambient,_1111877,4,AC3_4,P. lutea,4,PlutArlington16,Arlington16,Arlington,AC3_4_4,372.747,53.917,5.001
0,11/01/2022,AC3,Ambient,_1111877,4,AC3_4,P. lutea,5,PlutMartin19,Martin19,Martin,AC3_4_5,417.028,51.023,5.114
0,11/01/2022,AC3,Ambient,_1111877,4,AC3_4,P. lutea,6,PlutPalms23,Palms23,Palms,AC3_4_6,265.261,68.739,4.35
0,11/01/2022,AC3,Ambient,_1111877,4,AC3_4,P. lutea,7,PlutArlington9,Arlington9,Arlington,AC3_4_7,487.412,79.551,3.998
0,11/01/2022,AC3,Ambient,_1111877,4,AC3_4,P. lutea,8,PlutDavies9,Davies9,Davies,AC3_4_8,274.417,62.172,4.721
0,11/01/2022,AC3,Ambient,_1111877,4,AC3_4,P. lutea,9,PlutWood29,Wood29,Wood,AC3_4_9,253.443,85.506,3.764
0,11/01/2022,AC3,Ambient,_1111877,4,AC3_4,P. lutea,10,PlutArlington19,Arlington19,Arlington,AC3_4_10,324.595,94.726,3.403
0,11/01/2022,AC3,Ambient,_1111877,4,AC3_4,P. lutea,11,PlutPalms3,Palms3,Palms,AC3_4_11,324.278,52.993,5.04
0,11/01/2022,AC3,Ambient,_1111878,5,AC3_5,A. hyacinthus,1,AhyaMartin3,Martin3,Martin,AC3_5_1,228.854,71.25,4.315
0,11/01/2022,AC3,Ambient,_1111878,5,AC3_5,A. hyacinthus,2,AhyaArlington6,Arlington6,Arlington,AC3_5_2,277.286,72.219,4.277
0,11/01/2022,AC3,Ambient,_1111878,5,AC3_5,A. hyacinthus,3,AhyaArlington9,Arlington9,Arlington,AC3_5_3,256.031,86.72,3.706
0,11/01/2022,AC3,Ambient,_1111878,5,AC3_5,A. hyacinthus,4,AhyaDavies16,Davies16,Davies,AC3_5_4,239.647,91.371,3.523
0,11/01/2022,AC3,Ambient,_1111878,5,AC3_5,A. hyacinthus,5,AhyaWood8,Wood8,Wood,AC3_5_5,130.463,78.006,4.049
0,11/01/2022,AC3,Ambient,_1111878,5,AC3_5,A. hyacinthus,6,AhyaDavies9,Davies9,Davies,AC3_5_6,270.047,95.348,3.366
0,11/01/2022,AC3,Ambient,_1111878,5,AC3_5,A. hyacinthus,7,AhyaPalms10,Palms10,Palms,AC3_5_7,228.451,77.006,4.088
0,11/01/2022,AC3,Ambient,_1111878,5,AC3_5,A. hyacinthus,9,AhyaArlington11,Arlington11,Arlington,AC3_5_9,104.141,83.717,3.824
0,11/01/2022,AC3,Ambient,_1111878,5,AC3_5,A. hyacinthus,10,AhyaDavies14,Davies14,Davies,AC3_5_10,406.407,89.332,3.603
0,11/01/2022,AC3,Ambient,_1111878,5,AC3_5,A. hyacinthus,11,AhyaPalms6,Palms6,Palms,AC3_5_11,280.644,55.212,4.946
0,11/01/2022,AC3,Ambient,_1111880,6,AC3_6,P. lutea,1,PlutDavies7,Davies7,Davies,AC3_6_1,339.307,76.944,4.107
0,11/01/2022,AC3,Ambient,_1111880,6,AC3_6,P. lutea,2,PlutDavies10,Davies10,Davies,AC3_6_2,247.863,68.887,4.422
0,11/01/2022,AC3,Ambient,_1111880,6,AC3_6,P. lutea,4,PlutDavies3,Davies3,Davies,AC3_6_4,183.474,98.6,3.261
0,11/01/2022,AC3,Ambient,_1111880,6,AC3_6,P. lutea,5,PlutMartin4,Martin4,Martin,AC3_6_5,450.969,36.518,5.686
0,11/01/2022,AC3,Ambient,_1111880,6,AC3_6,P. lutea,6,PlutDavies1,Davies1,Davies,AC3_6_6,296.564,67.215,4.487
0,11/01/2022,AC3,Ambient,_1111880,6,AC3_6,P. lutea,7,PlutPalms20,Palms20,Palms,AC3_6_7,181.545,82.633,4.207
0,11/01/2022,AC3,Ambient,_1111880,6,AC3_6,P. lutea,8,PlutWood14,Wood14,Wood,AC3_6_8,203.545,68.547,4.486
0,11/01/2022,AC3,Ambient,_1111880,6,AC3_6,P. lutea,9,PlutArlington1,Arlington1,Arlington,AC3_6_9,442.557,39.641,5.564
0,11/01/2022,AC3,Ambient,_1111880,6,AC3_6,P. lutea,11,PlutWood13,Wood13,Wood,AC3_6_11,657.029,59.246,4.798
0,11/01/2022,AC4,Ambient,_1111881,1,AC4_1,A. hyacinthus,1,AhyaWood7A,Wood7A,Wood,AC4_1_1,188.199,71.099,4.306
0,11/01/2022,AC4,Ambient,_1111881,1,AC4_1,A. hyacinthus,2,AhyaArlington11,Arlington11,Arlington,AC4_1_2,344.764,53.952,4.982
0,11/01/2022,AC4,Ambient,_1111881,1,AC4_1,A. hyacinthus,3,AhyaDavies12,Davies12,Davies,AC4_1_3,394.308,87.601,3.228
0,11/01/2022,AC4,Ambient,_1111881,1,AC4_1,A. hyacinthus,5,AhyaPalms3,Palms3,Palms,AC4_1_5,280.619,62.201,4.521
0,11/01/2022,AC4,Ambient,_1111881,1,AC4_1,A. hyacinthus,6,AhyaWood17,Wood17,Wood,AC4_1_6,323.277,89.522,3.581
0,11/01/2022,AC4,Ambient,_1111881,1,AC4_1,A. hyacinthus,7,AhyaPalms6,Palms6,Palms,AC4_1_7,257.349,61.617,4.68
