No,Family,Cone,Cross,popcross,Mom,Dad,RegionCross2,RegionCross,Breed,StartPos,Rack,DevicePos,DeviceNo,PlugPosition,IndID,RecruitsStart,RecruitsEnd,RecruitsDead,SurvivalPerc,Notes,Survival
18,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A1,1,2,71,1,1.2.1,9,4,5,44.44444444,,0
19,HF72,C85,Martin11xDavies9,MAxDA,Martin11,Davies9,NorthxCentral,Hybrid,Hybrid,A1,1,2,71,2,1.2.2,3,0,3,0,,0
20,HF72,C85,Martin11xDavies9,MAxDA,Martin11,Davies9,NorthxCentral,Hybrid,Hybrid,A1,1,2,71,2,1.2.2,3,0,3,0,,0
21,HF72,C85,Martin11xDavies9,MAxDA,Martin11,Davies9,NorthxCentral,Hybrid,Hybrid,A1,1,2,71,2,1.2.2,3,0,3,0,,0
22,HF44,C129,Davies14xMartin14,DAxMA,Davies14,Martin14,Hybrid,Hybrid,Hybrid,K15,1,2,71,3,1.2.3,1,0,1,0,,0
23,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,A1,1,3,70,1,1.3.1,4,2,2,50,,1
24,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,A1,1,3,70,1,1.3.1,4,2,2,50,,1
25,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,A1,1,3,70,1,1.3.1,4,2,2,50,,0
26,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,A1,1,3,70,1,1.3.1,4,2,2,50,,0
27,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A1,1,3,70,2,1.3.2,20,11,9,55,,1
28,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A2,1,3,70,2,1.3.3,20,11,9,55,,1
29,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A3,1,3,70,2,1.3.4,20,11,9,55,,1
30,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A4,1,3,70,2,1.3.5,20,11,9,55,,1
31,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A5,1,3,70,2,1.3.6,20,11,9,55,,1
32,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A6,1,3,70,2,1.3.7,20,11,9,55,,1
33,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A7,1,3,70,2,1.3.8,20,11,9,55,,1
34,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A8,1,3,70,2,1.3.9,20,11,9,55,,1
35,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A9,1,3,70,2,1.3.10,20,11,9,55,,1
36,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A10,1,3,70,2,1.3.11,20,11,9,55,,1
37,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A11,1,3,70,2,1.3.12,20,11,9,55,,1
38,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A12,1,3,70,2,1.3.13,20,11,9,55,,0
39,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A13,1,3,70,2,1.3.14,20,11,9,55,,0
40,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A14,1,3,70,2,1.3.15,20,11,9,55,,0
41,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,3,70,2,1.3.16,20,11,9,55,,0
42,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A16,1,3,70,2,1.3.17,20,11,9,55,,0
43,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A17,1,3,70,2,1.3.18,20,11,9,55,,0
44,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A18,1,3,70,2,1.3.19,20,11,9,55,,0
45,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A19,1,3,70,2,1.3.20,20,11,9,55,,0
46,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A20,1,3,70,2,1.3.21,20,11,9,55,,0
47,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A2,1,3,70,3,1.3.3,1,0,1,0,,0
48,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,B15,1,4,69,1,1.4.1,7,0,7,0,,0
49,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,B15,1,4,69,1,1.4.1,7,0,7,0,,0
50,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,B15,1,4,69,1,1.4.1,7,0,7,0,,0
51,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,B15,1,4,69,1,1.4.1,7,0,7,0,,0
52,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,B15,1,4,69,1,1.4.1,7,0,7,0,,0
53,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,B15,1,4,69,1,1.4.1,7,0,7,0,,0
54,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,B15,1,4,69,1,1.4.1,7,0,7,0,,0
55,HF84,C63,Davies16xDavies18,DAxDA,Davies16,Davies18,CentralxCentral,CentralxCentral,CentralPure,I15,1,4,69,2,1.4.2,2,0,2,0,,0
56,HF84,C63,Davies16xDavies18,DAxDA,Davies16,Davies18,CentralxCentral,CentralxCentral,CentralPure,I15,1,4,69,2,1.4.2,2,0,2,0,,0
57,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,1
58,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,1
59,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,1
60,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,1
61,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
62,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
63,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
64,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
65,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
66,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
67,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
68,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
69,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
70,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
71,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
72,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
73,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
74,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
75,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
76,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
77,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
78,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
79,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
80,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
81,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
82,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
83,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
84,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
85,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
86,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
87,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
88,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
89,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
90,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3,34,4,30,11.76470588,,0
91,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,A2,1,5,76,1,1.5.1,4,0,4,0,,0
92,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,A2,1,5,76,1,1.5.1,4,0,4,0,,0
93,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,A2,1,5,76,1,1.5.1,4,0,4,0,,0
94,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,A2,1,5,76,1,1.5.1,4,0,4,0,,0
95,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2,28,6,22,21.42857143,,1
96,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2,28,6,22,21.42857143,,1
97,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2,28,6,22,21.42857143,,1
98,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2,28,6,22,21.42857143,,1
99,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2,28,6,22,21.42857143,,1
100,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2,28,6,22,21.42857143,,1
101,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2,28,6,22,21.42857143,,0
102,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2,28,6,22,21.42857143,,0
103,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2,28,6,22,21.42857143,,0
104,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2,28,6,22,21.42857143,,0
105,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2,28,6,22,21.42857143,,0
106,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2,28,6,22,21.42857143,,0
107,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2,28,6,22,21.42857143,,0
108,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2,28,6,22,21.42857143,,0
109,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2,28,6,22,21.42857143,,0
110,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2,28,6,22,21.42857143,,0
111,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2,28,6,22,21.42857143,,0
112,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2,28,6,22,21.42857143,,0
113,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2,28,6,22,21.42857143,,0
114,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2,28,6,22,21.42857143,,0
115,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2,28,6,22,21.42857143,,0
116,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2,28,6,22,21.42857143,,0
117,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2,28,6,22,21.42857143,,0
118,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2,28,6,22,21.42857143,,0
119,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2,28,6,22,21.42857143,,0
120,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2,28,6,22,21.42857143,,0
121,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2,28,6,22,21.42857143,,0
122,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2,28,6,22,21.42857143,,0
123,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,C1,1,5,76,3,1.5.3,2,0,2,0,,0
124,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,C1,1,5,76,3,1.5.3,2,0,2,0,,0
125,HF16,C87,Martin11xMartin13,MAxMA,Martin11,Martin13,NorthxNorth,NorthxNorth,NorthPure,K10,1,6,75,1,1.6.1,6,6,0,100,,1
126,HF16,C87,Martin11xMartin13,MAxMA,Martin11,Martin13,NorthxNorth,NorthxNorth,NorthPure,K10,1,6,75,1,1.6.1,6,6,0,100,,1
127,HF16,C87,Martin11xMartin13,MAxMA,Martin11,Martin13,NorthxNorth,NorthxNorth,NorthPure,K10,1,6,75,1,1.6.1,6,6,0,100,,1
128,HF16,C87,Martin11xMartin13,MAxMA,Martin11,Martin13,NorthxNorth,NorthxNorth,NorthPure,K10,1,6,75,1,1.6.1,6,6,0,100,,1
129,HF16,C87,Martin11xMartin13,MAxMA,Martin11,Martin13,NorthxNorth,NorthxNorth,NorthPure,K10,1,6,75,1,1.6.1,6,6,0,100,,1
130,HF16,C87,Martin11xMartin13,MAxMA,Martin11,Martin13,NorthxNorth,NorthxNorth,NorthPure,K10,1,6,75,1,1.6.1,6,6,0,100,,1
131,HF80,C86,Martin11xDavies15,MAxDA,Martin11,Davies15,NorthxCentral,Hybrid,Hybrid,A1,1,6,75,2,1.6.2,2,0,2,0,,0
132,HF80,C86,Martin11xDavies15,MAxDA,Martin11,Davies15,NorthxCentral,Hybrid,Hybrid,A1,1,6,75,2,1.6.2,2,0,2,0,,0
133,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,A2,1,6,75,3,1.6.3,37,3,34,8.108108108,,1
134,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,A2,1,6,75,3,1.6.3,37,3,34,8.108108108,,1
135,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,A2,1,6,75,3,1.6.3,37,3,34,8.108108108,,1
136,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,A2,1,6,75,3,1.6.3,37,3,34,8.108108108,,0
137,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,A2,1,6,75,3,1.6.3,37,3,34,8.108108108,,0
138,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,A2,1,6,75,3,1.6.3,37,3,34,8.108108108,,0
139,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,A2,1,6,75,3,1.6.3,37,3,34,8.108108108,,0
140,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,A2,1,6,75,3,1.6.3,37,3,34,8.108108108,,0
141,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,A2,1,6,75,3,1.6.3,37,3,34,8.108108108,,0
142,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,A2,1,6,75,3,1.6.3,37,3,34,8.108108108,,0
143,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,A2,1,6,75,3,1.6.3,37,3,34,8.108108108,,0
144,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,A2,1,6,75,3,1.6.3,37,3,34,8.108108108,,0
145,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,A2,1,6,75,3,1.6.3,37,3,34,8.108108108,,0
146,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,A2,1,6,75,3,1.6.3,37,3,34,8.108108108,,0
147,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,A2,1,6,75,3,1.6.3,37,3,34,8.108108108,,0
148,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,A2,1,6,75,3,1.6.3,37,3,34,8.108108108,,0
149,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,A2,1,6,75,3,1.6.3,37,3,34,8.108108108,,0
150,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,A2,1,6,75,3,1.6.3,37,3,34,8.108108108,,0
151,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,A2,1,6,75,3,1.6.3,37,3,34,8.108108108,,0
152,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,A2,1,6,75,3,1.6.3,37,3,34,8.108108108,,0
153,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,A2,1,6,75,3,1.6.3,37,3,34,8.108108108,,0
154,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,A2,1,6,75,3,1.6.3,37,3,34,8.108108108,,0
155,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,A2,1,6,75,3,1.6.3,37,3,34,8.108108108,,0
156,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,A2,1,6,75,3,1.6.3,37,3,34,8.108108108,,0
